count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
26,0,10,,,1483,,{},607,,Aari (GM 1483),1735,,
9,0,5,,,1160,,{},108,,Abau (PH 1160),1468,,
21,0,18,,,649,,{},1338,,abidji (AA 649),1798,,https://archive.org/details/rosettaproject_abi_ortho-1
21,2,15,,,1526,,{},1338,,Abidji (GM 1526),1021,,
13,0,10,,,1914,,{},972,,Abipon (SAPHON 1914),2468,,http://linguistics.berkeley.edu/~saphon/en/inv/Abipon.html
15,0,5,,,235,,{},972,,ABIPON (UPSID 235),58,,http://web.phonetik.uni-frankfurt.de/L/L6815.html
59,0,3,,,2468,,{},506,,Abkhaz (Abzhywa) (EA 2468),2334,,http://eurphon.info/languages/html?lang_id=404
67,0,3,,,2552,,{},506,,Abkhaz (Bzyb) (EA 2552),81,,http://eurphon.info/languages/html?lang_id=63
27,3,10,,,1297,,{},473,,Abua (GM 1297),1352,,
22,0,17,,,1701,,{},523,,Abujmaria (RA 1701),2546,,
17,0,7,,,1159,,{},787,,Abulas (PH 1159),113,,
20,4,14,,,1521,,{},51,,Abure (GM 1521),1872,,
21,0,34,,,1093,,{},801,,Acehnese (PH 1093),1808,,
19,0,10,,,1803,,{},2004,,Achagua (SAPHON 1803),434,,http://linguistics.berkeley.edu/~saphon/en/inv/Achagua.html
36,0,23,,,2548,,{},620,,Achang (Lianghe) (EA 2548),1946,,http://eurphon.info/languages/html?lang_id=8
22,0,12,,,2068,,{},1555,,Aché (SAPHON 2068),2335,,http://linguistics.berkeley.edu/~saphon/en/inv/Ache.html
11,0,10,,,348,,{},1555,,ACHE (UPSID 348),1110,,http://web.phonetik.uni-frankfurt.de/L/L6866.html
17,3,9,,,1433,,{},1244,,Acholi (GM 1433),2140,,
15,0,12,,,1946,,{},1532,,Achuar-Shiwiar (SAPHON 1946),751,,http://linguistics.berkeley.edu/~saphon/en/inv/Achuar.html
17,0,6,,,199,,{},1859,,ACHUMAWI (UPSID 199),438,,http://web.phonetik.uni-frankfurt.de/L/L6744.html
39,0,12,,,413,,{},962,,ACOMA (UPSID 413),2255,,http://web.phonetik.uni-frankfurt.de/L/L6749.html
27,0,9,,,1234,,{},307,,Adamawa Fulfulde; Adamawa Fulani (PH 1234),2032,,
18,0,22,,,1090,,{},792,,Adang (PH 1090),1337,,
21,3,7,,,650,,{},389,,adioukrou (AA 650),175,,https://archive.org/details/rosettaproject_adj_ortho-1
21,4,7,,,1527,,{},389,,Adioukrou (GM 1527),606,,
28,5,12,,,651,,{},619,,adja (AA 651),2694,,
23,0,14,,,652,,{},619,,adja (AA 652),437,,
