"token_data","proto_data","gloss_data","uid_data"
"a-","POC","adjectival prefix ","2612"
"a","POC","ligature ","11881"
"-a","PAN","imperative suffix ","383"
"-a","PMP","imperative suffix ","383"
"-a","PWMP","imperative suffix ","383"
"-a","PCEMP","imperative suffix ","383"
"-a","PEMP","imperative suffix ","383"
"-a","POC","imperative suffix ","383"
"-a","PMP","3sg. object ","384"
"-a","PWMP","3sg. object ","384"
"-a","PCEMP","3sg. object ","384"
"-a","PEMP","3sg. object ","384"
"-a","POC","3sg. object ","384"
"-a","PAN","subjunctive suffix ","387"
"-a","PMP","subjunctive suffix ","387"
"-a","PWMP","subjunctive suffix ","387"
"a","PMP","article ","378"
"a","PWMP","article ","378"
"a","PCEMP","article ","378"
"a","PEMP","article ","378"
"a","POC","article ","378"
"a","PMP","conjunction: and ","379"
"a","PWMP","conjunction: and ","379"
"a","PCEMP","conjunction: and ","379"
"a","PEMP","conjunction: and ","379"
"a","POC","conjunction: and ","379"
"a","PMP","exclamation, interjection ","380"
"a","PWMP","exclamation, interjection ","380"
"a","PCEMP","exclamation, interjection ","380"
"a","PCMP","exclamation, interjection ","380"
"a","PEMP","exclamation, interjection ","380"
"a","POC","exclamation, interjection ","380"
"a","PAN","hesitation particle ","381"
"a","PMP","hesitation particle ","381"
"a","PWMP","hesitation particle ","381"
"a","PCEMP","hesitation particle ","381"
"a","PCMP","hesitation particle ","381"
"a","PEMP","hesitation particle ","381"
"a","POC","hesitation particle ","381"
"a","PAN","ligature ","382"
"a","PMP","ligature ","382"
"a","PWMP","ligature ","382"
"a","PCEMP","ligature ","382"
"a","PEMP","ligature ","382"
"a","POC","ligature ","382"
"a-anak-an","PWMP","doll ","185"
"aba","PAN","father ","10"
"aba","PMP","father ","10"
"aba","PWMP","father ","10"
"aba","PCEMP","father ","10"
"aba","PCMP","father ","10"
"aba","PPH","carry pick-a-back ","9"
"abag","PPH","join forces, cooperate in working ","1"
"ambak","PMP","stamp or smack against ","153"
"ambak","PWMP","stamp or smack against ","153"
"ambak","PCEMP","stamp or smack against ","153"
"ambak","PCMP","stamp or smack against ","153"
"abaká","PPH","Manila hemp: Musa textilis ","2"
"abal abal","PPH","beetle sp. ","3"
"abaŋ","PMP","ambush, block the way; obstacle, hindrance ","11"
"abaŋ","PWMP","ambush, block the way; obstacle, hindrance ","11"
"abaŋ","PCEMP","ambush, block the way; obstacle, hindrance ","11"
"abaŋ","PCMP","ambush, block the way; obstacle, hindrance ","11"
"abaŋ","PWMP","ditch ","12"
"abaŋ","PWMP","rent ","14"
"abat","PWMP","give a supporting hand ","4"
"abat","PPH","spirit that causes sickness ","5"
"abat","PCEMP","wound, to wound ","6"
"abat","PCMP","wound, to wound ","6"
"abat","PEMP","wound, to wound ","6"
"abat","PSHWNG","wound, to wound ","6"
"abaw","PMP","high, lofty ","7"
"abaw","PWMP","high, lofty ","7"
"abaw","PCEMP","high, lofty ","7"
"abaw","PEMP","high, lofty ","7"
"ambawaŋ","PWMP","wild mango ","11833"
"abay","PWMP","side by side ","8"
"ambay","PWMP","wave back and forth ","154"
"abá","PWMP","exclamation: ah!, oh!, alas! ","24"
"abála","PPH","to bother, disturb, annoy or inconvenience someone ","11491"
"a(m)bek","PWMP","mat ","410"
"amben","PWMP","belly strap ","155"
"ambet","PWMP","strap; something wrapped around ","156"
"abi","POC","take hold of, grasp ","173"
"abij","PPH","copulate ","16"
"abijay","PPH","sling over the shoulder ","15"
"ambiq","PWMP","extension to house ","157"
"ambit","PMP","seize with the hands ","158"
"ambit","PWMP","seize with the hands ","158"
"ambit","PCEMP","seize with the hands ","158"
"ambit","PCMP","seize with the hands ","158"
"ambit","PEMP","seize with the hands ","158"
"abit","PWMP","climb ","17"
"abit","POC","hold, get, take ","159"
"abu","POC","grandparent ","12112"
"abu abu","PWMP","fish sp. ","18"
"abuat","PWMP","long (of objects) ","19"
"ambun","PWMP","dew, mist, fog ","162"
"abun","PWMP","collect, gather ","7983"
"ambuŋ","PWMP","proud, haughty ","164"
"ambuq","PWMP","high, lofty ","163"
"abuqaŋ","PMP","beetle ","20"
"abuqaŋ","PWMP","beetle ","20"
"abuqaŋ","PCEMP","beetle ","20"
"abuqaŋ","PCMP","beetle ","20"
"abuR","PWMP","dust ","21"
"ábuR","PPH","chase, drive away ","6053"
"abus","PMP","ash ","22"
"abus","PWMP","ash ","22"
"abus","PCEMP","ash ","22"
"abus","PCMP","ash ","22"
"abut","PMP","pull up, root up ","23"
"abut","PWMP","pull up, root up ","23"
"abut","PCEMP","pull up, root up ","23"
"abut","PEMP","pull up, root up ","23"
"abut","POC","pull up, root up ","23"
"abut-an","PPH","(gloss uncertain) ","12101"
"abut-en","PPH","to reach, catch up with ","12102"
"abuyu","PPH","to boil sugarcane to make sugarcane wine ","12093"
"acan","POC","name ","12087"
"acaŋ","PWMP","dove, pigeon ","69"
"acok","POC","to sniff, kiss ","4978"
"aCab","PAN","a cover ","25"
"aCas","PAN","high, tall ","26"
"aCay","PAN","death ","33"
"adaduq","PWMP","long (of objects) ","70"
"adamay","PMP","a plant: Pipturus argenteus ","71"
"adamay","PWMP","a plant: Pipturus argenteus ","71"
"adamay","PCEMP","a plant: Pipturus argenteus ","71"
"adamay","PCMP","a plant: Pipturus argenteus ","71"
"adani","PMP","near ","8183"
"adani","PWMP","near ","8183"
"adani","PCEMP","near ","8183"
"adani","PCMP","near ","8183"
"andap","PWMP","phosphorescent centipede (?) ","239"
"adaS","PAN","bring, take along ","6632"
"adayúq","PPH","far ","11098"
"a-di","PMP","that, there ","2260"
"a-di","PWMP","that, there ","2260"
"a-di","PCEMP","that, there ","2260"
"a-di","PCMP","that, there ","2260"
"a-di","PEMP","that, there ","2260"
"adi","PAN","no, not ","7326"
